record_type,record_id,collected_at,observed_at,forecast_hours,name,commune,district,province,latitude,longitude,rainfall_mm,risk_level,flash_flood_risk,color,source
rainfall_station,vrain-22.436944-105.166389-Bình An,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Bình An,,,,22.437,105.166,4.0,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.476389-105.291389-Khuôn Hà,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Khuôn Hà,,,,22.476,105.291,3.8,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.363814-105.402267-Nhà phao tiêu,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Nhà phao tiêu,,,,22.364,105.402,3.8,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.620786-104.921924-Bản Ngần,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Bản Ngần,,,,22.621,104.922,3.8,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.405-105.502222-Sơn Phú,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Sơn Phú,,,,22.405,105.502,3.8,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.272778-105.143611-Hà Lang,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Hà Lang,,,,22.273,105.144,3.8,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.361962-105.397824-Nhà đỉnh Đập,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Nhà đỉnh Đập,,,,22.362,105.398,3.8,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.449167-104.586667-Tân Nam 2,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Tân Nam 2,,,,22.449,104.587,3.6,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.848684-104.784288-Lao Chải,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Lao Chải,,,,22.849,104.784,3.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.475263-104.558123-Tân Nam 1,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Tân Nam 1,,,,22.475,104.558,3.4,Mưa nhỏ,,#1DADE9,VRain
